Value,Test
21.053,736138
20.922,736139
20.597,736140
20.534,736141
20.534,736142
20.52,736143
20.475,736144
20.525,736145
20.823,736146
20.866,736147
20.972,736148
20.972,736149
21.083,736150
20.98,736151
20.892,736152
20.754,736153
20.834,736154
20.937,736155
20.937,736156
20.995,736157
21.072,736158
21.042,736159
21.14,736160
21.209,736161
20.974,736162
20.974,736163
21.06,736164
21.116,736165
21.098,736166
20.822,736167
20.627,736168
20.46,736169
20.46,736170
20.536,736171
20.488,736172
20.615,736173
20.7,736174
20.818,736175
20.674,736176
20.674,736177
20.688,736178
20.409,736179
20.316,736180
20.096,736181
20.474,736182
20.01,736183
20.01,736184
20.063,736185
20.034,736186
20.129,736187
19.796,736188
19.663,736189
19.465,736190
19.465,736191
19.567,736192
19.471,736193
19.446,736194
19.374,736195
19.057,736196
18.946,736197
18.946,736198
19.097,736199
18.618,736200
18.815,736201
18.827,736202
19.075,736203
19.099,736204
19.099,736205
19.099,736206
19.221,736207
19.532,736208
19.762,736209
19.911,736210
19.579,736211
19.579,736212
19.673,736213
19.53,736214
19.368,736215
19.51,736216
19.367,736217
19.241,736218
19.241,736219
19.311,736220
19.335,736221
19.177,736222
19.181,736223
19.101,736224
18.799,736225
18.799,736226
18.899,736227
18.82,736228
19.036,736229
19.24,736230
18.795,736231
18.657,736232
18.657,736233
18.776,736234
18.571,736235
18.588,736236
18.517,736237
18.202,736238
17.712,736239
17.712,736240
17.749,736241
17.947,736242
17.866,736243
18.303,736244
18.543,736245
18.447,736246
18.447,736247
18.61,736248
18.423,736249
18.34,736250
18.168,736251
18.272,736252
18.159,736253
18.159,736254
18.333,736255
18.645,736256
18.442,736257
18.245,736258
18.194,736259
18.143,736260
18.143,736261
18.242,736262
18.087,736263
18.107,736264
18.082,736265
18.097,736266
17.618,736267
17.618,736268
17.75,736269
17.535,736270
17.555,736271
17.59,736272
17.287,736273
16.775,736274
16.775,736275
16.865,736276
16.581,736277
16.586,736278
16.423,736279
16.144,736280
16.108,736281
16.108,736282
16.199,736283
16.425,736284
16.73,736285
16.844,736286
17.229,736287
17.331,736288
17.331,736289
17.518,736290
17.288,736291
17.595,736292
17.627,736293
17.78,736294
17.47,736295
17.47,736296
17.522,736297
17.667,736298
17.902,736299
17.897,736300
17.422,736301
17.026,736302
17.026,736303
17.216,736304
16.926,736305
16.669,736306
16.537,736307
16.464,736308
