date,price
735738.0,902.5
735739.0,907.75
735740.0,906.75
735741.0,903.0
735742.0,
735743.0,
735744.0,
735745.0,898.75
735746.0,891.0
735747.0,893.5
735748.0,880.0
735749.0,
735750.0,
735751.0,878.0
735752.0,871.5
735753.0,870.25
735754.0,872.25
735755.0,871.75
735756.0,
735757.0,
735758.0,882.75
735759.0,875.75
735760.0,883.25
735761.0,901.5
735762.0,910.75
735763.0,
735764.0,
735765.0,915.0
735766.0,922.75
735767.0,926.0
735768.0,929.5
735769.0,926.0
735770.0,
735771.0,
735772.0,918.5
735773.0,927.5
735774.0,920.0
735775.0,916.5
735776.0,912.5
735777.0,
735778.0,
735779.0,905.75
735780.0,907.25
735781.0,902.0
735782.0,893.25
735783.0,891.25
735784.0,
735785.0,
735786.0,890.5
735787.0,882.25
735788.0,876.75
735789.0,879.0
735790.0,874.25
735791.0,
735792.0,
735793.0,874.5
735794.0,867.0
735795.0,877.0
735796.0,876.0
735797.0,877.0
735798.0,
735799.0,
735800.0,874.5
735801.0,878.75
735802.0,884.25
735803.0,880.25
735804.0,887.5
735805.0,
735806.0,
735807.0,884.5
735808.0,890.0
735809.0,890.0
735810.0,883.0
735811.0,877.75
735812.0,
735813.0,
735814.0,875.75
735815.0,864.0
735816.0,873.5
735817.0,874.75
735818.0,874.25
735819.0,
735820.0,
735821.0,878.75
735822.0,866.75
735823.0,867.0
735824.0,858.75
735825.0,860.0
735826.0,
735827.0,
735828.0,847.25
735829.0,851.25
735830.0,853.25
735831.0,855.0
735832.0,854.5
735833.0,
735834.0,
735835.0,
735836.0,859.5
735837.0,858.75
735838.0,858.5
735839.0,859.5
735840.0,
735841.0,
735842.0,859.0
735843.0,849.75
735844.0,857.75
735845.0,858.5
735846.0,846.5
735847.0,
735848.0,
735849.0,842.75
735850.0,842.25
735851.0,828.25
735852.0,826.0
735853.0,824.75
735854.0,
735855.0,
735856.0,824.25
735857.0,828.0
735858.0,827.25
735859.0,816.25
735860.0,813.75
735861.0,
735862.0,
735863.0,805.0
735864.0,805.5
735865.0,799.25
735866.0,806.5
735867.0,804.75
735868.0,
735869.0,
735870.0,807.5
735871.0,800.25
735872.0,801.75
735873.0,780.0
735874.0,773.25
735875.0,
735876.0,
735877.0,776.0
735878.0,773.75
735879.0,766.0
735880.0,763.0
735881.0,757.5
735882.0,
735883.0,
735884.0,753.0
735885.0,738.5
735886.0,724.5
735887.0,717.25
735888.0,727.25
735889.0,
735890.0,
735891.0,722.5
735892.0,726.75
735893.0,733.5
735894.0,732.0
735895.0,724.75
735896.0,
735897.0,
735898.0,727.5
735899.0,727.75
735900.0,741.75
735901.0,731.5
735902.0,727.75
735903.0,
735904.0,
735905.0,735.25
735906.0,715.0
735907.0,718.5
735908.0,713.75
735909.0,730.5
735910.0,
735911.0,
735912.0,732.0
735913.0,713.5
735914.0,716.0
735915.0,693.0
735916.0,682.75
735917.0,
735918.0,
735919.0,684.25
735920.0,685.25
735921.0,685.25
735922.0,682.0
735923.0,691.75
735924.0,
735925.0,
735926.0,691.25
735927.0,678.25
735928.0,680.5
735929.0,627.5
735930.0,641.0
735931.0,
735932.0,
735933.0,626.5
735934.0,622.5
735935.0,616.75
735936.0,606.25
735937.0,602.25
735938.0,
735939.0,
735940.0,584.5
735941.0,587.0
735942.0,564.5
735943.0,563.75
735944.0,550.75
735945.0,
735946.0,
735947.0,540.25
735948.0,532.0
735949.0,531.0
735950.0,524.75
735951.0,527.25
735952.0,
735953.0,
735954.0,524.5
735955.0,528.75
735956.0,522.0
735957.0,
735958.0,
735959.0,
735960.0,
735961.0,512.25
735962.0,501.25
735963.0,491.0
735964.0,
735965.0,489.75
735966.0,
735967.0,
735968.0,471.25
735969.0,465.5
735970.0,454.0
735971.0,457.75
735972.0,449.75
735973.0,
735974.0,
735975.0,441.5
735976.0,427.0
735977.0,430.75
735978.0,444.75
735979.0,443.75
735980.0,
735981.0,
735982.0,444.0
735983.0,443.75
735984.0,441.75
735985.0,443.75
735986.0,446.25
735987.0,
735988.0,
735989.0,447.5
735990.0,447.5
735991.0,450.75
735992.0,446.25
735993.0,451.25
735994.0,
735995.0,
735996.0,488.75
735997.0,512.75
735998.0,513.5
735999.0,522.0
736000.0,531.5
736001.0,
736002.0,
736003.0,540.5
736004.0,534.5
736005.0,525.5
736006.0,544.0
736007.0,568.0
736008.0,
736009.0,
736010.0,567.5
736011.0,556.5
736012.0,555.5
736013.0,545.25
736014.0,555.25
736015.0,
736016.0,
736017.0,543.25
736018.0,540.25
736019.0,539.5
736020.0,545.75
736021.0,552.0
736022.0,
736023.0,
736024.0,544.25
736025.0,551.5
736026.0,541.25
736027.0,545.75
736028.0,543.0
736029.0,
736030.0,
736031.0,537.0
736032.0,518.75
736033.0,517.75
736034.0,509.0
736035.0,491.75
736036.0,
736037.0,
736038.0,476.25
736039.0,475.5
736040.0,485.0
736041.0,487.5
736042.0,492.75
736043.0,
736044.0,
736045.0,496.25
736046.0,493.0
736047.0,494.25
736048.0,515.75
736049.0,508.25
736050.0,
736051.0,
736052.0,491.25
736053.0,492.5
736054.0,498.75
736055.0,485.5
736056.0,
736057.0,
736058.0,
736059.0,
736060.0,509.5
736061.0,497.25
736062.0,493.75
736063.0,499.25
736064.0,
736065.0,
736066.0,497.75
736067.0,497.25
736068.0,513.25
736069.0,529.75
736070.0,536.5
736071.0,
736072.0,
736073.0,537.5
736074.0,538.5
736075.0,542.0
736076.0,558.75
736077.0,561.25
736078.0,
736079.0,
736080.0,560.5
736081.0,564.0
736082.0,573.25
736083.0,584.0
736084.0,585.5
736085.0,
736086.0,
736087.0,
736088.0,611.0
736089.0,612.75
736090.0,596.25
736091.0,585.0
736092.0,
736093.0,
736094.0,580.25
736095.0,602.25
736096.0,612.0
736097.0,612.75
736098.0,608.75
736099.0,
736100.0,
736101.0,604.0
736102.0,589.5
736103.0,587.75
736104.0,604.75
736105.0,594.0
736106.0,
736107.0,
736108.0,
736109.0,577.5
736110.0,569.0
736111.0,561.5
736112.0,585.5
736113.0,
736114.0,
736115.0,580.5
736116.0,581.75
736117.0,572.75
736118.0,556.5
736119.0,556.25
736120.0,
736121.0,
736122.0,563.5
736123.0,576.0
736124.0,581.5
736125.0,576.25
736126.0,567.75
736127.0,
736128.0,
736129.0,559.5
736130.0,563.25
736131.0,571.25
736132.0,573.25
736133.0,556.5
736134.0,
736135.0,
736136.0,551.0
736137.0,558.25
736138.0,552.0
736139.0,544.0
736140.0,543.25
736141.0,
736142.0,
736143.0,531.5
736144.0,543.5
736145.0,537.75
736146.0,538.5
736147.0,518.75
736148.0,
736149.0,
736150.0,499.25
736151.0,482.5
736152.0,492.5
736153.0,507.25
736154.0,503.25
736155.0,
736156.0,
736157.0,507.5
736158.0,503.25
736159.0,498.75
736160.0,497.25
736161.0,489.0
736162.0,
736163.0,
736164.0,488.0
736165.0,488.0
736166.0,492.25
736167.0,489.75
736168.0,479.5
736169.0,
736170.0,
736171.0,469.5
736172.0,476.5
736173.0,475.75
736174.0,474.75
736175.0,470.25
736176.0,
736177.0,
736178.0,457.75
736179.0,456.0
736180.0,451.5
736181.0,443.25
736182.0,446.25
736183.0,
736184.0,
736185.0,459.5
736186.0,449.25
736187.0,457.5
736188.0,456.5
736189.0,453.5
736190.0,
736191.0,
736192.0,454.5
736193.0,449.75
736194.0,442.75
736195.0,439.0
736196.0,421.25
736197.0,
736198.0,
736199.0,407.0
736200.0,408.25
736201.0,402.5
736202.0,423.5
736203.0,455.5
736204.0,
736205.0,
736206.0,
736207.0,460.75
736208.0,451.0
736209.0,476.5
736210.0,466.25
736211.0,
736212.0,
736213.0,450.25
736214.0,462.5
736215.0,455.25
736216.0,454.5
736217.0,450.0
736218.0,
736219.0,
736220.0,440.5
736221.0,433.75
736222.0,453.75
736223.0,444.5
736224.0,440.25
736225.0,
736226.0,
736227.0,442.0
736228.0,438.0
736229.0,452.0
736230.0,444.25
736231.0,445.5
736232.0,
736233.0,
736234.0,435.75
736235.0,444.25
736236.0,442.0
736237.0,444.25
736238.0,428.25
736239.0,
736240.0,
736241.0,450.75
736242.0,464.25
736243.0,461.75
736244.0,460.0
736245.0,460.5
736246.0,
736247.0,
736248.0,444.75
736249.0,425.0
736250.0,424.0
736251.0,420.5
736252.0,428.5
736253.0,
736254.0,
736255.0,420.0
736256.0,417.25
736257.0,419.0
736258.0,421.5
736259.0,421.0
736260.0,
736261.0,
736262.0,418.75
736263.0,409.75
736264.0,429.5
736265.0,430.75
736266.0,428.5
736267.0,
736268.0,
736269.0,427.0
736270.0,434.0
736271.0,424.5
736272.0,419.0
736273.0,417.25
736274.0,
